Name,Order,cross_entropy,RMSE,dice
1004289_35,1,2233.5974,3.7741804e-05,1.0
1004289_35,2,2233.5989,5.8157242e-05,1.0
1004289_35,3,2233.6167,0.00010675988,0.9999183873337142
1004289_35,4,2233.5974,5.7165278e-05,1.0
1004289_35,5,2233.602,7.7022916e-05,0.9999183873337142
1004289_35,6,2233.604,8.703714e-05,0.9999183873337142
1004289_35,7,2233.6077,7.880285e-05,0.9999183873337142
1004289_35,8,2233.5994,7.3033574e-05,0.9999183740102848
1004289_35,9,2233.5955,2.3859488e-05,1.0
1004289_35,10,2233.6345,0.0001240865,0.9999183873337142
1004289_35,11,2233.6099,0.00010809546,0.9996736292428199
1004289_35,12,2233.6072,6.954862e-05,1.0
1004289_35,13,2233.607,7.6110555e-05,0.9999183873337142
1004289_35,14,2233.6028,6.771982e-05,0.9999183873337142
1004289_35,15,2233.6067,7.538408e-05,0.9999183873337142
1004289_35,16,2233.6013,7.339311e-05,0.9999183873337142
1004289_35,17,2233.5989,5.560272e-05,1.0
1004289_35,18,2233.6184,9.611823e-05,1.0
1004289_35,19,2233.605,6.095113e-05,1.0
1004289_35,20,2233.6072,9.7045246e-05,0.9999183873337142
1004298_76,1,4.2265788e-06,3.2168712e-13,-1.0
1004298_76,2,4.2473157e-06,2.1484249e-12,-1.0
1004298_76,3,4.262456e-06,3.521808e-12,-1.0
1004298_76,4,4.2349025e-06,1.0113535e-12,-1.0
1004298_76,5,4.210761e-06,1.1405106e-12,-1.0
1004298_76,6,4.1979097e-06,2.8522191e-12,-1.0
1004298_76,7,4.1958033e-06,3.2065726e-12,-1.0
1004298_76,8,4.319969e-06,7.46151e-12,-1.0
1004298_76,9,4.2177508e-06,6.145755e-13,-1.0
1004298_76,10,4.328514e-06,7.979581e-12,-1.0
1004298_76,11,4.263605e-06,3.6163555e-12,-1.0
1004298_76,12,4.2092433e-06,1.3120662e-12,-1.0
1004298_76,13,4.250205e-06,2.3099044e-12,-1.0
1004298_76,14,4.2170886e-06,7.6980593e-13,-1.0
1004298_76,15,4.2019756e-06,2.2908444e-12,-1.0
1004298_76,16,4.3000146e-06,6.269086e-12,-1.0
1004298_76,17,4.283719e-06,5.1553757e-12,-1.0
1004298_76,18,4.2050415e-06,1.8715118e-12,-1.0
1004298_76,19,4.24949e-06,2.2907058e-12,-1.0
