ent_sum,cv_sum,dice
747929.3482876384,1157.0047588328655,0.0035485977761816
747892.3545740118,3146.3789246516258,0.0020377298415983
747919.7309134674,1896.648743992364,0.0028220385234881
747893.3769719022,3109.952913663303,0.001158047111462
747926.6928125081,1333.7226484987525,0.0034426808285416
747913.7410126146,2158.4578993552013,0.0032662227650604
747926.8169169455,1262.1064692283303,0.0031432820102501
747925.1307031398,1547.3653515072208,0.0023722212582181
747915.6452581204,2094.080780837013,0.0020991206055783
747926.3758972059,1447.7796644492526,0.0026644664023666
747922.75860304,1691.032167492144,0.0026866123751936
747910.7571319516,2259.134973749626,0.0034523429350024
747835.5705354778,4647.516596367451,0.0014752214685496
747885.5473502367,3333.3442981686435,0.0017552630117202
747912.4929037731,2298.0686489609943,0.0021615420610122
747886.5955864926,3346.297247808189,0.002405697705091
747894.4477137389,3072.0439588427853,0.0026988186578979
747926.601398419,1386.2656415332556,0.0034368467249455
747908.1079582054,2488.1549521882725,0.0029779170050663
747926.9382724167,1367.745422571381,0.0032919362435239
747927.3886776846,1339.155949819709,0.0011988589174159
747899.7509148885,2826.7728991063336,0.0021148162024894
747911.0028790188,2381.921400413211,0.0010911074740861
747929.6301025819,1037.9935236086942,0.0031206175397389
747832.7214115221,4903.636196255261,0.0019516217702034
747923.2618533111,1634.3036301146658,0.0032094982198239
747929.6043894303,1041.4569631291597,0.0031677265989148
747931.8922699941,738.7235414781642,0.0035780482856165
747929.9547299194,1116.6451712936382,0.0023676973640083
747920.0367676197,1879.8465179811997,0.0027204977932132
747918.5970944959,1936.329299327086,0.0029323441088146
747928.7512099245,1145.7815070398935,0.0033512323425853
747926.280700014,1111.3055766855496,0.0032832886663006
747893.5000970329,3124.069569282826,0.0025466490568593
747926.6640490134,1412.7825615896904,0.0030434352880353
747904.3416161976,2567.1542930920514,0.0030643510202504
747934.6973665706,330.48213353384546,0.0036454389267899
747931.1874688099,931.4480894732138,0.0033110827696109
747927.9936727843,1241.107518490068,0.0033473671726755
747912.9103081765,2127.6878203106444,0.0026279025339099
747906.5684843232,2588.454217326724,0.0023115552527317
747877.8129993568,3626.471859495772,0.001793376820797
747933.3753602498,667.0820771623097,0.0029380877953035
747914.1879529705,2218.602215484264,0.0028962958530309
747918.9461689799,1886.1630623935932,0.003081849649802
747913.29421466,2197.126962902564,0.0028685068333383
747921.7991088002,1778.4320359946696,0.0030332575018957
747892.288533922,3135.2104779896413,0.0014828135598567
