esum,emean,cvsum,cvmean,dice
747929.3482876384,4.321892036610336,1157.0047588328657,0.006685724614187695,0.003548597776181658
741517.2093319172,4.2848396434213045,38084.73911744642,0.22007176357622055,-1.0
747892.3545740118,4.321678269311736,3146.3789246516258,0.018181276145592326,0.0020377298415983442
747919.7309134674,4.321836462841319,1896.6487439923637,0.010959739876065341,0.0028220385234881463
747893.3769719022,4.321684177213747,3109.952913663303,0.017970789303250412,0.0011580471114620344
747926.6928125081,4.3218766920101475,1333.7226484987525,0.007706884756950077,0.0034426808285416633
747913.7410126146,4.321801850341014,2158.4578993552013,0.0124725978836631,0.003266222765060478
747926.8169169455,4.321877409144702,1262.1064692283305,0.007293052360093441,0.003143282010250113
747925.1307031398,4.321867665398136,1547.3653515072208,0.008941414059652488,0.0023722212582181347
747915.6452581204,4.3218128539785985,2094.080780837013,0.012100596228024531,0.0020991206055783395
747926.3758972059,4.321874860722575,1447.7796644492526,0.0083659605240457,0.0026644664023666256
747922.75860304,4.321853958273854,1691.032167492144,0.009771589355423355,0.00268661237519369
747910.7571319516,4.321784608057228,2259.134973749626,0.013054357975161949,0.0034523429350024485
747835.5705354778,4.3213501440890685,4647.516596367451,0.026855564651716502,0.0014752214685496126
747885.5473502367,4.321638933930269,3333.3442981686435,0.01926165113124447,0.0017552630117202688
747912.4929037731,4.321794638173615,2298.0686489609943,0.013279335295863734,0.0021615420610122415
747886.5955864926,4.321644991138664,3346.297247808189,0.019336499444157895,0.002405697705091005
747894.4477137389,4.321690364470108,3072.0439588427853,0.017751733305073417,0.002698818657897942
747926.601398419,4.321876163775998,1386.2656415332556,0.008010503198578815,0.0034368467249455857
747908.1079582054,4.3217692998694375,2488.1549521882725,0.014377744499978461,0.0029779170050663263
747926.9382724167,4.32187811039442,1367.745422571381,0.007903484551656001,0.0032919362435239585
747927.3886776846,4.3218807130506,1339.155949819709,0.007738280960034376,0.0011988589174159534
747899.7509148885,4.321721008892431,2826.7728991063336,0.016334440291618513,0.0021148162024894885
747911.0028790188,4.321786028100839,2381.921400413211,0.01376387643544986,0.0010911074740861974
747929.6301025819,4.321893665071317,1037.9935236086942,0.005998021008278789,0.00312061753973894
747832.7214115221,4.3213336804937255,4903.636196255261,0.02833554569766585,0.0019516217702034084
747923.2618533111,4.321856866293634,1634.3036301146658,0.009443784844874872,0.003209498219823981
747929.6043894303,4.321893516488479,1041.4569631291597,0.006018034411572899,0.003167726598914843
747931.8922699941,4.321906736952166,738.7235414781642,0.004268696499850708,0.0035780482856165477
747863.66386377,4.321512480721673,4110.338432228378,0.023751493344514943,0.0
747929.9547299194,4.321895540922704,1116.6451712936382,0.006452507692848779,0.002367697364008317
747920.0367676197,4.3218382302122995,1879.8465179811994,0.010862648610745651,0.002720497793213226
747918.5970944959,4.321829911095229,1936.3292993270861,0.011189033025882294,0.002932344108814697
747928.7512099245,4.321888586410899,1145.7815070398935,0.006620871319341101,0.0033512323425853563
747926.280700014,4.321874310627854,1111.3055766855496,0.006421652971786876,0.003283288666300619
747893.5000970329,4.321684888689401,3124.069569282826,0.018052362063625798,0.0025466490568593586
747926.6640490134,4.321876525800974,1412.7825615896904,0.008163730593505515,0.0030434352880353384
747904.3416161976,4.32174753615129,2567.1542930920514,0.014834240321584062,0.003064351020250493
747934.6973665706,4.321922946136341,330.48213353384546,0.001909683186562994,0.003645438926789913
747931.1874688099,4.321902664275205,931.4480894732138,0.0053823507389123395,0.003311082769610951
747927.9936727843,4.321884209000464,1241.107518490068,0.007171710420268977,0.003347367172675522
747912.9103081765,4.321797050135081,2127.6878203106444,0.012294793710190021,0.0026279025339099324
747906.5684843232,4.321760404056047,2588.454217326724,0.014957321429633899,0.0023115552527317234
747877.8129993568,4.321594241166771,3626.471859495772,0.02095548180644284,0.0017933768207970136
747933.3753602498,4.321915306954106,667.0820771623097,0.0038547179939575032,0.002938087795303582
747914.1879529705,4.3218044329752825,2218.602215484264,0.012820140390880778,0.0028962958530309377
747918.9461689799,4.321831928213872,1886.1630623935935,0.01089914861312866,0.0030818496498020856
747913.29421466,4.321799268529609,2197.126962902564,0.012696046152127428,0.0028685068333383175
747921.7991088002,4.321848413859099,1778.4320359946696,0.010276627426929258,0.003033257501895786
747892.288533922,4.32167788770064,3135.2104779896413,0.018116739540897982,0.0014828135598567666
